"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: HL7 v2 Mapping","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"SpecimenDefinition.collection","SpecimenDefinition.collection","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Specimen collection procedure","The action to be performed for collecting the specimen.","","","","","","","","","",,"example","SCT actions and procedures for specimen collection","http://hl7.org/fhir/ValueSet/specimen-collection","",,,,"SpecimenDefinition.collection",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SpecimenDefinition.typeTested","SpecimenDefinition.typeTested","","","",1,*,"","","","BackboneElement {[]} {[]}
","Specimen in container intended for testing by lab","Specimen conditioned in a container as expected by the testing laboratory.","","","","","","","","","",,,,,"",,,,"SpecimenDefinition.typeTested",0,*,"",""
"SpecimenDefinition.typeTested.id","SpecimenDefinition.typeTested.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"SpecimenDefinition.typeTested.extension","SpecimenDefinition.typeTested.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SpecimenDefinition.typeTested.modifierExtension","SpecimenDefinition.typeTested.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4B/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SpecimenDefinition.typeTested.isDerived","SpecimenDefinition.typeTested.isDerived","","","",0,1,"","","","boolean {[]} {[]}
","Primary or secondary specimen","Primary of secondary specimen.","","","","","","","<valueBoolean xmlns=""http://hl7.org/fhir"" value=""false""/>","","",,,,,"",,,,"SpecimenDefinition.typeTested.isDerived",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OM4-2"
"SpecimenDefinition.typeTested.type","SpecimenDefinition.typeTested.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type of intended specimen","The kind of specimen conditioned for testing expected by lab.","","","","","","","","","",,"required","","http://openhie.org/fhir/rwanda-hiv/ValueSet/vs-specimen-type","",,,,"SpecimenDefinition.typeTested.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SpecimenDefinition.typeTested.preference","SpecimenDefinition.typeTested.preference","","","",1,1,"","","","code {[]} {[]}
","preferred | alternate","The preference for this type of conditioned specimen.","","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""preferred, alternate""/>","","",,"required","Degree of preference of a type of conditioned specimen.","http://hl7.org/fhir/ValueSet/specimen-contained-preference|4.3.0","",,,,"SpecimenDefinition.typeTested.preference",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OM4-16"
"SpecimenDefinition.typeTested.container","SpecimenDefinition.typeTested.container","","","",0,1,"","","","BackboneElement {[]} {[]}
","The specimen's container","The specimen's container.","","","","","","","","","",,,,,"",,,,"SpecimenDefinition.typeTested.container",0,1,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"SpecimenDefinition.typeTested.container.id","SpecimenDefinition.typeTested.container.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
